
Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2016-01-01;32.321,40;7745009839457;37.885,14;7569076546824;36.689,34;10600830902614;35.918,91;509718454971;66.166,77;1274348236774;32.266,03;12367504242773
2016-01-02;32.321,40;7745009839457;37.885,14;7569076546824;36.689,34;10600830902614;35.918,91;509718454971;66.166,77;1274348236774;32.266,03;12367504242773
2016-01-03;32.321,40;7745009839457;37.885,14;7569076546824;36.689,34;10600830902614;35.918,91;509718454971;66.166,77;1274348236774;32.266,03;12367504242773
2016-01-04;32.340,63;7744486759589;37.903,80;7590121089812;36.710,34;10618415505079;35.934,03;514735059369;66.208,94;1271736072344;32.281,00;12371778298836
2016-01-05;32.235,98;7718692836229;37.787,89;7568614348689;36.576,39;10581547844542;35.804,22;512926013110;65.974,09;1267107703498;32.176,69;12332126965418
2016-01-06;32.218,12;7714255187501;37.751,99;7560289348836;36.538,57;10571255611938;35.778,94;512614791431;65.900,66;1268756772913;32.159,00;12326128934585
2016-01-07;32.151,59;7698561648411;37.679,76;7547649774074;36.466,14;10550671238332;35.702,22;511752729288;65.783,00;1266338398292;32.090,33;12300826912842
2016-01-08;32.020,73;7666764211130;37.536,08;7518318812166;36.318,22;10509678121591;35.537,46;509574023068;65.471,11;1260613621151;31.962,03;12249652812529
2016-01-09;32.020,73;7666764211130;37.536,08;7518318812166;36.318,22;10509678121591;35.537,46;509574023068;65.471,11;1260613621151;31.962,03;12249652812529
2016-01-10;32.020,73;7666764211130;37.536,08;7518318812166;36.318,22;10509678121591;35.537,46;509574023068;65.471,11;1260613621151;31.962,03;12249652812529
2016-01-11;32.001,76;7663148032934;37.506,22;7505422578950;36.292,68;10499818528870;35.502,29;509424362452;65.410,60;1259788565421;31.925,82;12237457299826
2016-01-12;32.087,30;7683840166023;37.600,47;7517771601217;36.380,81;10517777293724;35.586,83;511111026841;65.565,51;1263542834521;32.015,73;12273034434297
2016-01-13;32.068,41;7677677411265;37.580,89;7509099389972;36.354,29;10502017028695;35.580,52;513263473194;65.527,29;1264086750620;32.006,36;12274475836086
2016-01-14;31.964,35;7661543698202;37.460,33;7484761787424;36.232,20;10477958419825;35.454,89;513177799000;65.312,43;1260591512061;31.880,50;12242335497786
2016-01-15;31.911,68;7654135664658;37.387,93;7478031741694;36.155,89;10461074879948;35.404,10;518131645819;65.207,02;1256510785995;31.846,47;12231404237192
2016-01-16;31.911,68;7654135664658;37.387,93;7478031741694;36.155,89;10461074879948;35.404,10;518131645819;65.207,02;1256510785995;31.846,47;12231404237192
2016-01-17;31.911,68;7654135664658;37.387,93;7478031741694;36.155,89;10461074879948;35.404,10;518131645819;65.207,02;1256510785995;31.846,47;12231404237192
2016-01-18;31.824,08;7632317248914;37.291,57;7457092673383;36.065,34;10432824420278;35.292,58;516615638031;64.986,95;1252227993654;31.750,82;12191780502930
2016-01-19;31.757,48;7614025489882;37.205,85;7439518534805;35.972,82;10403633442280;35.216,66;514444549606;64.830,73;1252074014986;31.691,22;12170950600939
2016-01-20;31.757,10;7613902219849;37.197,52;7435067564630;35.972,70;10406388889321;35.226,70;514693829109;64.849,14;1252294506441;31.685,54;12168576655051
2016-01-21;31.580,72;7565554265790;36.977,28;7373377694440;35.757,79;10317566805949;35.006,82;510382282591;64.478,94;1244734915991;31.529,56;12103349192342
2016-01-22;31.540,60;7549522875997;36.938,18;7340659357239;35.691,69;10278663743426;34.960,96;508561488231;64.379,62;1242319792558;31.516,51;12093703909000
2016-01-23;31.540,60;7549522875997;36.938,18;7340659357239;35.691,69;10278663743426;34.960,96;508561488231;64.379,62;1242319792558;31.516,51;12093703909000
2016-01-24;31.540,60;7549522875997;36.938,18;7340659357239;35.691,69;10278663743426;34.960,96;508561488231;64.379,62;1242319792558;31.516,51;12093703909000
2016-01-25;31.641,96;7571737609519;37.042,05;7351852784658;35.790,37;10293646097507;35.106,01;510402295907;64.577,36;1245976471472;31.615,02;12129013414377
2016-01-26;31.674,91;7576313297039;37.077,88;7347577025232;35.834,83;10296961068671;35.117,83;510201916010;64.643,74;1247067113372;31.622,22;12127579885326
2016-01-27;31.749,80;7589928272770;37.167,51;7348914215243;35.914,08;10304460011137;35.208,66;511112285941;64.775,01;1249662168992;31.710,01;12156881854002
2016-01-28;31.710,65;7575180884320;37.122,50;7326769854120;35.867,60;10285535046173;35.149,09;509315765138;64.679,62;1247386742721;31.656,92;12133627651581
2016-01-29;31.690,06;7544192062650;37.106,80;7295080460770;35.860,49;10254142987927;35.137,51;508990000712;64.657,44;1243547613663;31.650,53;12101434075889
2016-01-30;31.690,06;7544192062650;37.106,80;7295080460770;35.860,49;10254142987927;35.137,51;508990000712;64.657,44;1243547613663;31.650,53;12101434075889
2016-01-31;31.690,06;7544192062650;37.106,80;7295080460770;35.860,49;10254142987927;35.137,51;508990000712;64.657,44;1243547613663;31.650,53;12101434075889
