
Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2015-01-01;29.209,84;3429959696384;30.459,06;3084859110525;30.323,35;4408895083631;29.138,84;688039411571;29.835,05;405042599166;29.195,28;4304562077314
2015-01-02;29.183,64;3427018939443;30.447,00;3084138524297;30.297,65;4407987288717;29.113,10;687482047779;29.809,36;404611616650;29.176,70;4302214423457
2015-01-03;29.183,64;3427018939443;30.447,00;3084138524297;30.297,65;4407987288717;29.113,10;687482047779;29.809,36;404611616650;29.176,70;4302214423457
2015-01-04;29.183,64;3427018939443;30.447,00;3084138524297;30.297,65;4407987288717;29.113,10;687482047779;29.809,36;404611616650;29.176,70;4302214423457
2015-01-05;29.325,84;3443694129460;30.586,95;3095655230143;30.434,36;4426700763319;29.239,42;690807494991;29.943,89;406288623764;29.296,34;4319667464211
2015-01-06;29.216,74;3427099771390;30.457,75;3084403381167;30.317,35;4406838952834;29.116,14;686862398726;29.819,77;402059781102;29.171,44;4299404067858
2015-01-07;29.018,66;3403526230822;30.249,88;3063192153979;30.119,38;4378062770687;28.910,12;682236946340;29.620,14;399501337960;28.977,22;4271124879927
2015-01-08;29.070,63;3409218644914;30.314,02;3070101281881;30.177,63;4387076611839;28.951,48;683681331904;29.669,93;400304895666;29.044,89;4280538015973
2015-01-09;29.248,10;3427995582356;30.505,71;3085033195236;30.362,72;4411986482748;29.137,79;688831204398;29.857,65;405098314802;29.225,69;4307373773750
2015-01-10;29.248,10;3427995582356;30.505,71;3085033195236;30.362,72;4411986482748;29.137,79;688831204398;29.857,65;405098314802;29.225,69;4307373773750
2015-01-11;29.248,10;3427995582356;30.505,71;3085033195236;30.362,72;4411986482748;29.137,79;688831204398;29.857,65;405098314802;29.225,69;4307373773750
2015-01-12;29.271,49;3424491426638;30.526,00;3085403518919;30.387,68;4416172444877;29.158,43;690984219278;29.881,94;405576817220;29.246,02;4311436156646
2015-01-13;29.277,99;3426504282365;30.531,26;3088079109950;30.399,31;4420447588753;29.159,71;694406837829;29.892,60;406131108459;29.247,45;4314710363799
2015-01-14;29.349,29;3440562836581;30.600,49;3101110986813;30.475,28;4439069262449;29.219,11;705692507065;29.964,19;408349846674;29.311,91;4335849074755
2015-01-15;29.456,44;3457495329339;30.716,31;3112488408920;30.585,03;4462984772068;29.311,77;712231107644;30.058,55;407678444111;29.422,30;4358736000144
2015-01-16;29.405,50;3449255691019;30.674,90;3105713399940;30.536,05;4452254810195;29.258,61;710902488440;30.006,06;406925827617;29.373,27;4350925870748
2015-01-17;29.405,50;3449255691019;30.674,90;3105713399940;30.536,05;4452254810195;29.258,61;710902488440;30.006,06;406925827617;29.373,27;4350925870748
2015-01-18;29.405,50;3449255691019;30.674,90;3105713399940;30.536,05;4452254810195;29.258,61;710902488440;30.006,06;406925827617;29.373,27;4350925870748
2015-01-19;29.537,21;3464741801176;30.812,02;3119281236089;30.666,91;4470969927962;29.363,31;713538590228;30.131,20;408651511006;29.505,42;4370499373686
2015-01-20;29.578,88;3468861452570;30.853,85;3120131492604;30.707,04;4475331406880;29.412,79;714695274907;30.173,01;411161576091;29.545,72;4376154435366
2015-01-21;29.606,47;3472160977696;30.875,07;3121210115449;30.731,68;4477912140975;29.434,13;715385553207;30.192,46;411474411442;29.574,99;4380093148938
2015-01-22;29.769,75;3490907099379;31.053,45;3139697097930;30.900,64;4502810741631;29.592,14;719406276078;30.359,87;413672041437;29.743,19;4405404914836
2015-01-23;29.903,95;3509823244688;31.206,99;3155784353859;31.046,27;4524930342177;29.733,66;722881512510;30.501,29;416628216590;29.889,20;4426818748302
2015-01-24;29.903,95;3509823244688;31.206,99;3155784353859;31.046,27;4524930342177;29.733,66;722881512510;30.501,29;416628216590;29.889,20;4426818748302
